,Delta t (mcs),Delta r (mm)
0,304.4800109863281,371.8063955407145
1,389.1800231933594,629.8362583173039
2,631.7799987792969,985.5729570108198
3,31.96002197265625,292.29265926665926
4,140.86001586914062,806.792639312789
5,86.37997436523438,142.0691590086945
6,890.0799865722656,322.0638720472855
7,196.1400146484375,341.1424077268775
8,102.44000244140625,439.69408553716784
9,276.94000244140625,174.5105193714581
10,48.32000732421875,161.1297299265689
11,179.79998779296875,977.1881589336509
12,117.3800048828125,839.7500848642875
13,44.5,371.6986074330856
14,592.1799926757812,251.50704280956015
15,1045.4800109863281,1167.2178773274888
16,263.0,200.86418149126004
17,316.7799987792969,384.76070559163725
18,191.75997924804688,210.48828877179741
19,57.94000244140625,668.3722394434486
20,394.7599792480469,542.4553153477851
21,222.80001831054688,629.9741227442069
22,192.6199951171875,352.98179963256865
23,384.4200134277344,486.587768437324
24,47.279998779296875,1040.654688738517
25,34.220001220703125,678.8662689061082
26,16.65997314453125,610.0341817337955
27,69.82000732421875,890.519205499328
28,144.69998168945312,385.79811877640014
29,674.5400085449219,518.858612315385
30,285.3800048828125,316.8561591739187
31,236.739990234375,521.6692238747111
32,486.7200012207031,346.738481418908
33,4.82000732421875,549.9341764303614
34,280.5400085449219,487.0066167192952
35,55.360015869140625,332.2939175618876
36,5.5,370.65126041817393
37,55.339996337890625,549.4966118348315
38,11.44000244140625,887.0080916951167
39,206.92001342773438,295.6833617439471
40,54.20001220703125,212.759728527536
41,223.33999633789062,496.212359617463
42,386.8399963378906,223.83049293121
43,73.46002197265625,200.0181520630166
44,544.5600280761719,424.9746480493808
45,385.0400085449219,715.2446765420975
46,107.96002197265625,627.8101821202979
47,5.220001220703125,645.8852123202511
48,35.899993896484375,281.65534850728403
49,33.32000732421875,1599.946506586973
50,8.94000244140625,181.4337539144672
51,388.8800048828125,371.7738875367327
52,255.0999755859375,532.3892579252707
53,85.44000244140625,232.12796895034913
54,99.760009765625,593.0995514080842
55,302.3999938964844,395.95402270020224
56,614.7799987792969,239.4282248967931
57,128.260009765625,179.37474047112738
58,306.2200012207031,425.1406943291411
59,756.3600158691406,312.77947041375285
60,1048.2000122070312,706.870985666516
61,103.70001220703125,297.0847930349471
62,79.55999755859375,260.7421197583971
63,101.51998901367188,608.6119281737599
64,30.44000244140625,312.9402860317851
65,46.240020751953125,265.87421195238835
66,165.52001953125,524.6341577689816
67,15.220001220703125,728.4188923220821
68,122.54000854492188,790.1682412875988
69,68.12002563476562,529.3501778869067
70,2.9000244140625,760.0726846635552
71,189.760009765625,537.7592966330982
72,5.180023193359375,155.22311600342644
73,9.899993896484375,500.68364708819996
74,185.92001342773438,219.9648304030726
75,453.9800109863281,433.7473969093878
76,59.459991455078125,481.4750179814358
77,31.120025634765625,429.6034582152489
78,139.22000122070312,648.8450935133949
79,116.10000610351562,179.3071668680419
80,157.260009765625,366.729554359733
81,643.8600158691406,441.8155647560208
82,146.16000366210938,515.2121377439111
83,21.6199951171875,325.02678568421555
84,258.5799865722656,399.12913052713986
85,690.1800231933594,192.8681631573986
86,58.600006103515625,466.3580659238098
87,8.019989013671875,222.64447266363248
88,137.3800048828125,328.6826679849463
89,193.739990234375,433.5299927139803
90,106.29998779296875,490.8265036863799
91,133.27999877929688,320.71261120074433
92,1.740020751953125,303.28140905471986
93,18.96002197265625,882.8590707630636
94,95.03997802734375,1250.2836465416847
95,152.74002075195312,999.2423840658552
96,173.3800048828125,848.2635296290442
97,186.02001953125,249.78382055447608
98,294.70001220703125,411.67402060179404
99,93.6400146484375,495.27175210953766
100,352.3800048828125,346.08005882195283
