,Prompt Energy (MeV),Delayed Energy (MeV)
0,1.2200280312227774,2.076023709021742
1,1.1359495587638009,2.2060293212198623
2,5.885288731643871,1.9302390471128557
3,2.1912618943130777,2.168731968023937
4,1.0177064850197692,2.1401336419050367
5,5.835984137051275,2.1651843591162065
6,1.0986623022387525,2.1818397068596083
7,1.8830113179739678,2.1463617953407006
8,3.2477249690882006,2.0601072105750817
9,3.15273466086555,2.113686369182537
10,1.111810063484955,2.0669523439166717
11,1.2191885500148736,2.1275720652525743
12,5.852371647084231,2.2014953817713523
13,1.5362466003471824,2.2173596990250837
14,1.449218923523589,2.089088359523339
15,4.516481878786803,2.1316045237033316
16,2.0766965333529956,2.2804646539089766
17,1.0449761777101612,2.1625435261536747
18,2.484985960305501,2.1362346542774753
19,2.1716271391969775,2.068897418266035
20,1.6237605428733946,1.9635504662416259
21,1.241772940493586,2.092113865578922
22,3.3194208854868625,2.1127240979395845
23,1.540487909537966,2.0291302983736683
24,2.0201444673510847,2.105772286279813
25,5.639940430705639,2.07905610501734
26,1.1726440163320018,2.0710166637482548
27,1.0254373242274128,2.05476694811622
28,1.266900202042729,1.9831555388640212
29,1.5687133356945249,2.1507678723973678
30,1.30521950200871,2.136345659994107
31,5.91957766514469,2.0368690000582848
32,2.176082097989757,2.2579168063483603
33,4.434599855463895,2.111836227488249
34,1.9120647572629943,2.108535499349016
35,1.5617832768580995,12.407394133522114
36,2.028948355758869,2.0300230079837984
37,1.2754548481269414,2.0367152990804818
38,1.165966948936326,2.112518045802422
39,2.1294334557176344,2.3294614734524743
40,1.6225975784690243,2.1383457168248925
41,5.846910122600704,2.1316047379280154
42,1.9037233421170465,2.1069640035715986
43,1.542395096458874,2.1582180477141466
44,1.3879110566844386,2.168589497405424
45,1.4559625755907497,2.1156763423913234
46,1.7531677077436356,2.1091050942226715
47,2.5578280770702038,2.005659862296133
48,1.4680895571471302,2.165598724262746
49,6.178146214547833,2.2974125571730237
50,2.1250262307787113,2.24669719677436
51,2.928316764060169,9.300555244402645
52,1.1613160673349818,2.2207385631773966
53,1.364838935438674,2.113642408167431
54,1.096726329478637,2.1193151531236007
55,6.269976176131751,2.114011540677549
56,5.258075779306809,2.119812198674979
57,5.926978606258831,1.8915122191052363
58,2.0221184854174266,2.2001452255313643
59,1.8131631273227728,2.072348227750671
60,1.1468996120625847,2.112921025468479
61,1.7358893919281273,2.1161828350271428
62,2.0103200985500647,2.056025240528377
63,1.3934464611944526,2.136664388300551
64,1.2885945606233185,2.0751454982059707
65,1.1298150566153464,2.2818613345046757
66,1.4416979084448296,2.122469434588361
67,1.0217149076204617,2.1501362745155603
68,1.0478481997616673,2.234128130961542
69,1.8589631832762632,2.0132342174120055
70,5.446856866437929,2.0168295225251285
71,1.1914180035695123,2.1375701875837567
72,1.166196361648275,2.237115734798677
73,1.2863495514791818,2.056888343902013
74,5.664369075344874,1.9532389951470823
75,1.2892571988217139,2.173394255099204
76,1.1475839185125047,2.1824285014288303
77,1.5105283614083453,2.1152662999207994
78,1.1730497306494505,2.0589697499215798
79,1.7754530953809278,2.0854325263362297
80,2.0873207974896575,2.220093222459237
81,1.0452209076129835,2.1203854455413307
82,1.4182189397446663,2.14058966297476
83,1.0497662455912038,2.2092398569556493
84,1.2849371501216078,2.050587013208456
85,1.1988239836405379,2.166720086282681
86,1.2774243170779749,2.099971010261356
87,2.353397562670866,1.9647236779710158
88,6.0206381520031815,2.163115439625925
89,1.1513842421763385,2.1858599710855855
90,5.707165954294365,2.136329455677026
91,1.65139873589504,1.9981064019450503
92,2.581038958608914,2.1590259647917933
93,1.8752741479058592,2.1505216489837675
94,2.2927645100221246,2.035653649651178
95,1.262122402102675,2.1613540358763728
96,1.0480274585322784,2.2343923930645566
97,1.9094679616695414,2.16985812233365
98,2.240216372462841,2.248066375709644
99,1.5369529119062286,2.278677120737795
100,1.863393600631729,2.1024950504888826
101,1.1803251079023453,2.2662816897519122
