,Dt (mcs),Dr (mm)
0,94.04000854492188,269.2086510093101
1,4.91998291015625,368.7644466522991
2,145.94000244140625,286.2223982160121
3,11.5,199.38649236127134
4,116.19998168945312,851.859366950514
5,162.55999755859375,277.0321337129149
6,365.4599914550781,464.8567328440645
7,115.39999389648438,96.90951162967963
8,83.48001098632812,257.23594391792204
9,86.89999389648438,584.8696650948114
10,102.36001586914062,491.6601581518326
11,84.03997802734375,366.9651622268938
12,282.0799865722656,303.23807364774893
13,290.1000061035156,504.49820600052806
14,20.120025634765625,683.9977040319097
15,66.97998046875,398.12907763699735
16,58.55999755859375,316.61914676380957
17,327.82000732421875,401.63744065847527
18,283.8999938964844,540.4211537986685
19,492.9800109863281,286.38377947129123
20,401.7599792480469,478.1601331485205
21,185.07998657226562,152.61893421288553
22,477.96002197265625,568.2159255813168
23,309.9800109863281,1314.734606207229
24,143.51998901367188,183.85712478981205
25,178.45999145507812,601.7557192786844
26,75.44000244140625,866.4165390737667
27,64.39999389648438,135.76166069283065
28,619.7200012207031,498.59416932873296
29,161.63998413085938,310.79275469989955
30,25.680023193359375,483.97416019973156
31,143.68002319335938,512.5581253290561
32,346.0199890136719,331.1618710112028
33,137.32000732421875,305.2704088996562
34,108.260009765625,524.531881484557
35,196.79998779296875,158.01977519071036
36,77.94000244140625,487.1587907640121
37,25.70001220703125,387.9373429117252
38,189.60000610351562,633.1703334485805
39,250.6400146484375,481.63501631317047
40,681.8800048828125,244.34116649280512
41,172.6199951171875,504.9981035817805
42,54.82000732421875,342.6508260223116
43,159.5,172.77547855686313
44,411.6600036621094,708.3885903166065
45,82.07998657226562,298.5324407707704
46,12.94000244140625,381.4926916771342
47,48.67999267578125,977.5762009037667
48,86.42001342773438,405.5121612374351
49,535.7999877929688,272.984465054221
50,26.779998779296875,532.8485887724556
51,69.69998168945312,268.88286984825555
52,316.2599792480469,531.9148633336949
53,14.959991455078125,175.56137699057962
54,21.120025634765625,190.52632742759064
55,72.22000122070312,346.7883911570993
56,53.639984130859375,291.3974763680291
57,89.89999389648438,954.6243504215785
58,198.66000366210938,208.83873531931522
59,86.54000854492188,821.647459190826
60,615.6199951171875,128.27917182218542
61,313.4599914550781,771.4013549068032
62,340.2200012207031,288.0317083141765
63,56.579986572265625,515.6586537846684
64,308.55999755859375,610.6953316234597
65,78.6400146484375,400.04294376093384
66,176.6400146484375,386.7249566735697
67,103.20001220703125,582.3131837454567
68,146.52001953125,293.2333245199705
69,252.3800048828125,647.2396533688118
70,885.2999877929688,499.1847974269891
71,236.72000122070312,137.0256368647732
72,31.240020751953125,395.94756690223323
73,672.2200012207031,490.22900133628707
74,176.58001708984375,825.8575061643534
75,1.03997802734375,287.7834887787496
76,132.70001220703125,430.0684334339986
77,94.1199951171875,464.7995755821579
78,39.939971923828125,543.4576489027271
79,289.94000244140625,219.94352916684403
80,70.89999389648438,351.01808949441016
81,37.399993896484375,425.4699944740914
82,52.67999267578125,384.89350830927555
83,376.1399841308594,572.2488784270397
84,401.0,475.52213792145506
85,207.04000854492188,423.54949699480306
86,299.2799987792969,160.15628779822066
87,570.6199951171875,335.320224535359
88,254.46002197265625,854.3035046982503
89,297.29998779296875,540.2209187526361
90,213.63998413085938,204.23978016454603
91,3.70001220703125,499.02871401449016
92,46.260009765625,728.4465802250256
93,231.91998291015625,947.0085218954497
94,226.29998779296875,514.1462264921084
95,152.92001342773438,278.24389676639225
96,155.33999633789062,676.7772301368826
97,279.1000061035156,219.57329760316313
98,36.41998291015625,1024.9522210980379
99,149.57998657226562,937.8038690850532
100,151.760009765625,290.6205316157257
101,712.6799926757812,157.93395740959159
102,472.9200134277344,161.02554984902946
103,208.92001342773438,657.6102313723563
104,46.67999267578125,306.0226066923663
105,135.44000244140625,749.2728587796553
106,21.3599853515625,184.9703439206647
107,5.58001708984375,528.0391048618811
108,205.05999755859375,127.1673174062039
109,244.16000366210938,281.7893861844496
110,158.239990234375,305.5350508523589
111,43.55999755859375,784.5197615267534
112,131.67999267578125,632.9118693232209
113,415.1600036621094,1024.2666705545453
114,555.780029296875,1003.5283138520447
115,28.540008544921875,72.40059623423049
116,285.1600036621094,452.0912466841636
117,126.239990234375,149.87775057351806
118,763.3799743652344,480.5732291398549
119,280.8999938964844,871.2510927204455
120,211.22000122070312,373.43988893385233
121,198.0,526.5941827440315
122,258.1600036621094,1079.4027688606095
123,245.45999145507812,543.2432116896085
124,347.760009765625,540.0490444214199
125,2.019989013671875,522.6363073164844
