,Prompt Energy (MeV),Delayed Energy (MeV)
0,2.2079457605205666,2.0657508129811295
1,3.391044952927233,2.1112173982879057
2,2.7605460789703002,2.357772279804403
3,3.6600727771524464,2.224961092800917
4,5.136938376206752,2.1896751845569646
5,3.7016116133850634,2.100794167659439
6,3.077280274463644,2.037519835257341
7,3.1092223255144193,2.1528428219277056
8,3.6356789530066873,2.094644341363801
9,4.014188463318787,2.075466370056944
10,4.37014787560123,2.126518086522791
11,1.826085681915981,2.007748031894146
12,2.9275338822934645,2.0364057431140985
13,1.104140385846006,2.290250931406889
14,2.0816676080033387,1.944383164676768
15,4.387127727212347,2.2727248975206695
16,6.572128390473978,2.1111072853846182
17,2.333984811044216,2.0981286441884754
18,3.1640067609165423,2.1165270663271847
19,2.3455051589194773,2.224163298154996
20,4.048757545148229,2.2895050651138473
21,3.039102141812773,2.0736369549765663
22,3.6971893800923983,2.1868549888654
23,4.244400479898347,2.0658288764842743
24,2.7888547974148454,2.0078168491821597
25,2.021702702070631,1.9944406097353957
26,2.2781902616077696,2.0953183816170085
27,4.058845054103911,2.0596678868991636
28,3.463985398984031,2.0377511462651183
29,1.0172841917533935,2.200097294543216
30,3.053832913882338,2.3258987885563913
31,2.6480796964578768,1.841658429105265
32,1.3421697850344565,2.00576148666176
33,1.6262125939427836,2.109339484334348
34,3.6150536815933476,2.1305961583280797
35,2.060074581111856,2.021594992788917
36,3.797930224826792,2.203936697054062
37,1.809729813425857,2.0316926600999765
38,3.9763456439195948,2.384378705184717
39,3.733572857664492,2.1761630628836035
40,1.4498263866452672,2.1318347328164493
41,4.525106137773622,2.1531790326225444
42,5.361797189180327,2.0593413510065286
43,1.4443427295647222,1.8692557501352625
44,2.6086614236685053,2.239241187242519
45,3.973826797161473,2.1181811533139197
46,1.5092887200479628,1.9860603528006018
47,4.555458078019285,2.212607172162281
48,2.802265732010431,2.0597308185921412
49,2.5767649839785127,2.221250289146446
50,4.187591985395345,2.166635362001452
51,1.6025939981437,2.0662829954097237
52,2.7344162434434605,2.2423814961232345
53,4.33357541346599,2.223928169970923
54,6.065701013030843,2.2274243043008832
55,2.33299740327106,2.120102975823246
56,1.6041673532501177,2.259566789931811
57,3.5631841849530654,2.2409733352900907
58,3.3866391641752633,2.2285412959072115
59,3.252505380222398,2.09490705106821
60,2.4269059988870474,2.167135125931839
61,3.6159020946814544,1.8867111023731113
62,2.95451127115556,2.033308576754354
63,1.335776922758295,2.0691234588256235
64,3.4586963704975155,1.9969906854226507
65,2.476463943715149,2.188239212841961
66,2.4108000529597233,2.100950393497443
67,3.442952576714936,2.2057647394358226
68,2.289414887392491,1.9495105349133814
69,1.7748666583045702,2.1383711323174217
70,3.0441832867131646,2.077084467138854
